"input_name","market_hash_name","type"
"亲笔签名胶囊 | Team SoloMid | 2015年科隆锦标赛","Autograph Capsule | Team SoloMid | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Team Liquid | 2017年亚特兰大锦标赛","Autograph Capsule | Team Liquid | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | Team Liquid | 2016年科隆锦标赛","Autograph Capsule | Team Liquid | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Team Liquid | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Team Liquid | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | Team Kinguin | 2015年科隆锦标赛","Autograph Capsule | Team Kinguin | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Team Immunity | 2015年科隆锦标赛","Autograph Capsule | Team Immunity | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Team EnVyUs | 2017年亚特兰大锦标赛","Autograph Capsule | Team EnVyUs | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | Team EnVyUs | 2016年科隆锦标赛","Autograph Capsule | Team EnVyUs | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Team EnVyUs | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Team EnVyUs | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | Team EnVyUs | 2015年科隆锦标赛","Autograph Capsule | Team EnVyUs | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Team eBettle | 2015年科隆锦标赛","Autograph Capsule | Team eBettle | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Team Dignitas | 2016年科隆锦标赛","Autograph Capsule | Team Dignitas | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Splyce | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Splyce | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | SK Gaming | 2017年亚特兰大锦标赛","Autograph Capsule | SK Gaming | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | SK Gaming | 2016年科隆锦标赛","Autograph Capsule | SK Gaming | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Renegades | 2015年科隆锦标赛","Autograph Capsule | Renegades | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | OpTic Gaming | 2017年亚特兰大锦标赛","Autograph Capsule | OpTic Gaming | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | OpTic Gaming | 2016年科隆锦标赛","Autograph Capsule | OpTic Gaming | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | North | 2017年亚特兰大锦标赛","Autograph Capsule | North | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | Ninjas in Pyjamas | 2016年科隆锦标赛","Autograph Capsule | Ninjas in Pyjamas | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Ninjas in Pyjamas | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Ninjas in Pyjamas | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | Ninjas in Pyjamas | 2015年科隆锦标赛","Autograph Capsule | Ninjas in Pyjamas | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Natus Vincere | 2017年亚特兰大锦标赛","Autograph Capsule | Natus Vincere | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | Natus Vincere | 2016年科隆锦标赛","Autograph Capsule | Natus Vincere | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Natus Vincere | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Natus Vincere | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | Natus Vincere | 2015年科隆锦标赛","Autograph Capsule | Natus Vincere | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | mousesports | 2017年亚特兰大锦标赛","Autograph Capsule | mousesports | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | mousesports | 2016年科隆锦标赛","Autograph Capsule | mousesports | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | mousesports | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | mousesports | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | mousesports | 2015年科隆锦标赛","Autograph Capsule | mousesports | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Luminosity Gaming | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Luminosity Gaming | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | Luminosity Gaming | 2015年科隆锦标赛","Autograph Capsule | Luminosity Gaming | Cologne 2015","普通级 武器箱"
"亲笔签名胶囊 | Legends（闪亮）| 2016年科隆锦标赛","Autograph Capsule | Legends (Foil) | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Legends（闪亮）| 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Legends (Foil) | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | HellRaisers | 2017年亚特兰大锦标赛","Autograph Capsule | HellRaisers | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | GODSENT | 2017年亚特兰大锦标赛","Autograph Capsule | GODSENT | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | Gambit Gaming | 2017年亚特兰大锦标赛","Autograph Capsule | Gambit Gaming | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | Gambit Gaming | 2016年科隆锦标赛","Autograph Capsule | Gambit Gaming | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | Gambit Gaming | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | Gambit Gaming | MLG Columbus 2016","普通级 武器箱"
"亲笔签名胶囊 | G2 Esports | 2017年亚特兰大锦标赛","Autograph Capsule | G2 Esports | Atlanta 2017","普通级 武器箱"
"亲笔签名胶囊 | G2 Esports | 2016年科隆锦标赛","Autograph Capsule | G2 Esports | Cologne 2016","普通级 武器箱"
"亲笔签名胶囊 | G2 Esports | 2016年 MLG 哥伦布锦标赛","Autograph Capsule | G2 Esports | MLG Columbus 2016","普通级 武器箱"
